City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,Luhyny,51.08,28.4,44.44,91,96,4.74,UA,1604077853
234,São Gabriel da Cachoeira,-0.13,-67.09,97.65,42,1,3.47,BR,1604077853
236,Touros,-5.2,-35.46,87.8,52,40,14.99,BR,1604077855
245,Rawson,-43.3,-65.1,70.74,22,1,9.22,AR,1604077557
247,Tessalit,20.2,1.01,88.88,12,11,7.9,ML,1604077461
250,Bondoukou,8.03,-2.8,84.7,61,1,3.04,CI,1604077858
253,Matara,5.95,80.54,78.55,84,62,7.72,LK,1604077585
258,Chapais,49.78,-74.85,23.22,92,40,3.51,CA,1604077859
259,Tuskegee,32.42,-85.69,62.01,100,0,3,US,1604077860
266,Humberto de Campos,-2.6,-43.46,90.64,49,96,12.26,BR,1604077362
272,Albemarle,35.35,-80.2,66,45,40,13.87,US,1604077863
279,Ribeira Grande,38.52,-28.7,69.8,88,75,20.8,PT,1604077865
283,Acandí,8.51,-77.28,83.73,77,20,3.42,CO,1604077866
284,Belyy Yar,53.6,91.39,37.4,59,0,11.18,RU,1604077435
285,Hong Kong,22.29,114.16,75,77,58,4,HK,1604077800
296,Barth,54.36,12.72,55.4,100,75,12.75,DE,1604077869
298,Adrar,20.5,-10.07,93.29,11,62,6.55,MR,1604077397
305,Saint George,37.1,-113.58,51.8,29,1,2.98,US,1604077677
309,Ngama,11.78,17.17,90.68,21,0,1.97,TD,1604077871
311,Yanam,16.73,82.22,84.2,48,20,3.36,IN,1604077872
315,Rafaela,-31.25,-61.49,66.99,35,100,4,AR,1604077873
320,Antofagasta,-23.65,-70.4,69.01,59,0,10.29,CL,1604077873
321,Sur,22.57,59.53,74.73,66,0,5.06,OM,1604077840
322,Sistranda,63.73,8.83,46.4,65,0,21.92,NO,1604077874
326,Rio Grande,-32.03,-52.1,69.01,69,49,7,BR,1604077652
330,Iracoubo,5.48,-53.2,86.99,65,97,14.36,GF,1604077876
335,Miandrivazo,-19.52,45.47,85.51,49,62,8.97,MG,1604077877
337,Iqaluit,63.75,-68.51,3.85,91,75,3.29,CA,1604077878
338,Kattivākkam,13.22,80.32,78.8,88,40,7.31,IN,1604077878
343,Halifax,44.65,-63.57,39,62,98,5.01,CA,1604077023
345,Almeirim,-1.52,-52.58,96.64,41,27,7.72,BR,1604077880
346,Khartoum,15.55,32.53,93.2,12,0,4.7,SD,1604077880
348,Laguna,38.42,-121.42,55.4,76,1,3.6,US,1604077364
350,Ballina,-28.87,153.57,71.6,88,40,6.93,AU,1604077881
352,Ilulissat,69.22,-51.1,19.4,67,75,3.36,GL,1604077881
353,Gameleira,-8.58,-35.39,86.97,52,54,11.88,BR,1604077699
357,Lafia,8.48,8.52,84.07,51,0,2.19,NG,1604077882
361,La Asuncion,11.03,-63.86,95,59,89,14.99,VE,1604077883
366,Takoradze,4.88,-1.76,81.64,73,51,4.83,GH,1604077884
374,Cimitarra,6.31,-73.95,87.28,58,72,2.57,CO,1604077735
376,Ambikāpur,23.12,83.2,63.36,56,30,1.25,IN,1604077627
382,Umm Kaddadah,13.6,26.69,91.56,16,0,7.72,SD,1604077888
383,Chivilcoy,-34.9,-60.02,66,29,8,3,AR,1604077888
391,Salinas,36.68,-121.66,48.2,87,1,3.36,US,1604077890
392,Châteauneuf-les-Martigues,43.38,5.17,66.99,72,0,6.93,FR,1604077890
407,Manta,-0.95,-80.73,77,69,40,8.05,EC,1604077308
408,Raudeberg,61.99,5.14,53.6,93,75,13.87,NO,1604077896
411,Basoko,1.24,23.62,73.74,91,89,3.4,CD,1604077897
412,Lebu,-37.62,-73.65,59.56,64,0,14.16,CL,1604077897
417,Olafsvik,64.89,-23.71,41.9,73,52,12.1,IS,1604077898
418,Hadrut,39.52,47.03,67.69,38,0,3.67,AZ,1604077898
419,Ponta Delgada,37.73,-25.67,69.8,88,75,12.75,PT,1604077887
423,Marsala,37.8,12.44,68,77,40,8.05,IT,1604077899
432,Sfântu Gheorghe,45.87,25.78,44.01,99,96,5.01,RO,1604077902
435,Taperoá,-7.21,-36.83,95.18,22,26,13.04,BR,1604077902
436,Cabedelo,-6.98,-34.83,86,62,40,13.87,BR,1604077903
437,Shache,38.42,77.24,38.93,72,18,4.61,CN,1604077903
439,Ponta do Sol,32.67,-17.1,71.6,73,20,17.22,PT,1604077305
440,Los Llanos de Aridane,28.66,-17.92,73.4,78,40,13.87,ES,1604077780
443,Vero Beach,27.64,-80.4,80.01,73,20,8.05,US,1604077817
446,Erzurum Province,40,41.5,57.2,42,75,6.93,TR,1604077698
447,Ambilobe,-13.2,49.05,76.57,62,45,8.55,MG,1604077905
452,Port Blair,11.67,92.75,80.89,84,88,9.78,IN,1604077559
458,Maun,-19.98,23.42,96.8,18,20,6.93,BW,1604077907
472,Jalu,29.03,21.55,71.15,50,0,9.62,LY,1604077428
475,Vallenar,-28.57,-70.76,83.66,20,0,10.56,CL,1604077911
476,Nadym,65.53,72.52,28.53,98,98,9.44,RU,1604077911
482,Shambu,9.57,37.1,52.39,91,87,1.01,ET,1604077912
492,Saint-Augustin,51.23,-58.65,33.66,72,0,15.75,CA,1604077914
494,Khorixas,-20.37,14.97,80.96,30,83,11.74,NA,1604077915
502,Cidreira,-30.18,-50.21,65.84,59,61,10.47,BR,1604077331
504,Bambous Virieux,-20.34,57.76,70,52,40,16.11,MU,1604077917
505,Inírida,3.87,-67.92,96.87,48,82,0.63,CO,1604077917
512,Mar del Plata,-38,-57.56,59,58,0,13.87,AR,1604077707
518,Bani Walid,31.76,13.99,67.87,63,64,14.47,LY,1604077920
524,Codrington,-38.27,141.97,50.38,89,0,9.06,AU,1604077398
525,Cururupu,-1.83,-44.87,89.98,51,69,9.22,BR,1604077332
526,Esmeralda,21.85,-78.12,86,70,40,10.29,CU,1604077922
528,Agirish,61.92,63.02,32.88,95,67,7.43,RU,1604077923
532,Natal,-5.79,-35.21,87.8,55,20,13.87,BR,1604077899
535,Kolondiéba,11.09,-6.89,89.44,31,95,3.62,ML,1604077925
